ID,Nombre,Autor_principal,Año,Repositorio,DOI,Licencia,Modalidad,Volumen_declarado,Volumen_procesado_EDA,Particiones_oficiales,Indexada_JCR_IEEE,Idioma_etiquetas,Tamano_disco_aprox,Ajuste_a_tesis,Rol_propuesto
D1,"LSM ~100,000 fotos",Osvaldo Montesinos,2022,Kaggle,—,Kaggle ToU,Imagen RGB,"~100,000 imgs",200 imgs (2 clases × 100),No,Sí (indir.),Español,> 1 GB,Alto (volumen),Dataset principal (módulo perceptual)
D2,LSM Lenguaje de señas mexicanas (Zenodo),"Chacon Quintero, Martinez Nimi et al.",2022,Zenodo,10.5281/zenodo.6554337,CC-BY 4.0,Keypoints renderizados,72 imgs alfabeto + 80 etiquetas palabras,72 imgs (subset ABECEDARIO completo),No,Sí,Español (IDs ordinales),271 MB,Medio (anotación),Validación externa
D3,Mexican Sign Language Dataset,warcoder,2023,Kaggle,—,Kaggle ToU,Imagen RGB,"~31,442 imgs (249 palabras, 11 sujetos)",25 imgs (5 clases × 5),No,Sí (indir.),Español,Cientos de MB,Bajo (redundancia),Out-of-distribution (auditoría robustez)
D4,Mexican Sign Language Alphabet (dynamic only),Sánchez-Vicinaiz et al.,2025,Zenodo,10.5281/zenodo.14689869,CC-BY 4.0,Video (MP4),20 sujetos × 6 letras × repeticiones,"309 videos (3 letras: J, K, Ñ)",Sí (18/2 por sujeto),Sí,N/A (gestual),3.6 GB,Alto (temporal),Validación módulo temporal (LSTM/GRU)
D5,Spanish to MSL glosses corpus,"Lara-Ortiz, Fuentes-Aguilar, Chairez",2025,ScienceDB / Figshare,10.1038/s41597-025-04871-7,CC-BY 4.0,Texto paralelo,"3,000 pares paralelos","3,000 pares (completo)",No,Sí (Sci. Data),ES → glosa LSM,< 1 MB,Alto (lingüístico),Dataset complementario (módulo lingüístico)
